temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2024,7,hulkenberg,10,75841.0,75569.0,75980.0,11,imola,haas,9,11,7,7,0,1234.0,6,13.0,0,10.67,10.2,0,-0.67,0.47,25.11,42.02,48.43,0,0.0
2024,7,kevin_magnussen,18,76854.0,,,12,imola,haas,18,19,7,7,0,,1,16.0,0,16.0,14.0,0,1.67,2.0,25.11,42.02,48.43,0,0.0
2024,7,leclerc,4,75823.0,75328.0,74970.0,3,imola,ferrari,2,3,2,187,1,224.0,98,3.0,0,3.67,3.2,0,1.67,0.47,25.11,42.02,48.43,0,0.0
2024,7,max_verstappen,1,75762.0,75176.0,74746.0,1,imola,red_bull,1,2,1,239,4,0.0,136,1.0,4,1.33,1.25,1,-0.33,0.08,25.11,42.02,48.43,0,0.0
2024,7,norris,3,75915.0,75371.0,74837.0,2,imola,mclaren,5,1,3,124,1,91.0,83,4.0,1,2.67,3.8,0,1.33,-1.13,25.11,42.02,48.43,0,0.0
2024,7,ocon,12,76361.0,75906.0,,14,imola,alpine,13,10,8,1,0,,1,15.0,0,12.0,13.0,0,1.67,-1.0,25.11,42.02,48.43,0,0.0
2024,7,perez,11,76404.0,75706.0,,8,imola,red_bull,4,4,1,239,4,,103,2.0,0,3.0,3.2,0,-0.33,-0.2,25.11,42.02,48.43,0,0.0
2024,7,piastri,2,75940.0,75407.0,74820.0,4,imola,mclaren,6,13,3,124,1,74.0,41,6.0,0,9.67,7.4,0,-4.0,2.27,25.11,42.02,48.43,0,0.0
2024,7,ricciardo,9,76060.0,75691.0,75674.0,13,imola,rb,20,15,6,19,0,928.0,5,14.0,0,15.0,14.33,2,5.0,0.67,25.11,42.02,48.43,0,0.0
2024,7,russell,6,76107.0,75671.0,75234.0,7,imola,mercedes,7,8,4,64,0,488.0,37,7.0,0,7.0,8.8,0,1.0,-1.8,25.11,42.02,48.43,0,0.0
2024,7,sainz,5,76015.0,75512.0,75233.0,5,imola,ferrari,3,5,2,187,1,487.0,83,5.0,1,4.33,3.4,0,0.33,0.93,25.11,42.02,48.43,0,0.0
2024,7,sargeant,20,,,,17,imola,williams,17,20,9,0,0,,0,21.0,0,17.0,17.0,0,2.5,0.0,25.11,42.02,48.43,0,0.0
2024,7,stroll,13,76458.0,75992.0,,9,imola,aston_martin,11,17,5,42,0,,9,11.0,0,14.67,12.5,1,-2.0,2.17,25.11,42.02,48.43,0,0.0
2024,7,tsunoda,7,75894.0,75358.0,75465.0,10,imola,rb,10,7,6,19,0,719.0,14,10.0,0,8.5,9.75,1,1.5,-1.25,25.11,42.02,48.43,0,0.0
2024,7,zhou,17,76834.0,,,15,imola,sauber,19,14,10,0,0,,0,18.0,0,14.0,15.25,1,3.5,-1.25,25.11,42.02,48.43,0,0.0
2024,8,albon,9,71623.0,71216.0,70948.0,9,monaco,williams,14,20,9,0,0,678.0,0,17.0,0,15.0,13.67,1,-1.0,1.33,21.6,46.32,63.99,0,0.0
2024,8,alonso,14,72019.0,,,11,monaco,aston_martin,20,19,5,44,0,,33,9.0,0,11.67,9.8,0,1.0,1.87,21.6,46.32,63.99,0,0.0
